fdc_id,data_type,description,food_category_id,publication_date,total_sugar
171332,sr_legacy_food,"Spices, pumpkin pie spice",2,4/1/2019,
171333,sr_legacy_food,"Spices, rosemary, dried",2,4/1/2019,
170934,sr_legacy_food,"Spices, saffron",2,4/1/2019,
170935,sr_legacy_food,"Spices, sage, ground",2,4/1/2019,
170936,sr_legacy_food,"Spices, savory, ground",2,4/1/2019,
170937,sr_legacy_food,"Spices, tarragon, dried",2,4/1/2019,
170938,sr_legacy_food,"Spices, thyme, dried",2,4/1/2019,
172231,sr_legacy_food,"Spices, turmeric, ground",2,4/1/2019,
173470,sr_legacy_food,"Thyme, fresh",2,4/1/2019,
173471,sr_legacy_food,Vanilla extract,2,4/1/2019,
172235,sr_legacy_food,"Vanilla extract, imitation, alcohol",2,4/1/2019,
172236,sr_legacy_food,"Vanilla extract, imitation, no alcohol",2,4/1/2019,
172241,sr_legacy_food,"Vinegar, balsamic",2,4/1/2019,
173469,sr_legacy_food,"Vinegar, cider",2,4/1/2019,
172237,sr_legacy_food,"Vinegar, distilled",2,4/1/2019,
172240,sr_legacy_food,"Vinegar, red wine",2,4/1/2019,
173412,sr_legacy_food,"Butter oil, anhydrous",4,4/1/2019,0
171314,sr_legacy_food,"Butter, Clarified butter (ghee)",4,4/1/2019,0
173410,sr_legacy_food,"Butter, salted",4,4/1/2019,0.06
173411,sr_legacy_food,"Butter, whipped, with salt",4,4/1/2019,0.06
172345,sr_legacy_food,"Animal fat, bacon grease",4,4/1/2019,0
173581,sr_legacy_food,"Butter, light, stick, with salt",4,4/1/2019,0
172344,sr_legacy_food,"Butter, light, stick, without salt",4,4/1/2019,0
171400,sr_legacy_food,"Fat, beef tallow",4,4/1/2019,0
173564,sr_legacy_food,"Fat, chicken",4,4/1/2019,0
173571,sr_legacy_food,"Fat, turkey",4,4/1/2019,0
172340,sr_legacy_food,"Fish oil, herring",4,4/1/2019,
172341,sr_legacy_food,"Fish oil, menhaden",4,4/1/2019,
172342,sr_legacy_food,"Fish oil, menhaden, fully hydrogenated",4,4/1/2019,
172343,sr_legacy_food,"Fish oil, salmon",4,4/1/2019,
171401,sr_legacy_food,Lard,4,4/1/2019,0
171432,sr_legacy_food,"Margarine, 80% fat, tub, CANOLA HARVEST Soft Spread (canola, palm and palm kernel oils)",4,4/1/2019,
173605,sr_legacy_food,"Margarine, industrial, non-dairy, cottonseed, soy oil (partially hydrogenated ), for flaky pastries",4,4/1/2019,0
171431,sr_legacy_food,"Margarine, margarine-like vegetable oil spread, 67-70% fat, tub",4,4/1/2019,
172346,sr_legacy_food,"Margarine, regular, 80% fat, composite, stick, with salt",4,4/1/2019,0
171435,sr_legacy_food,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",4,4/1/2019,0
173585,sr_legacy_food,"Margarine, regular, 80% fat, composite, stick, without salt",4,4/1/2019,0
171040,sr_legacy_food,"Margarine, regular, 80% fat, composite, stick, without salt, with added vitamin D",4,4/1/2019,0
172347,sr_legacy_food,"Margarine, regular, 80% fat, composite, tub, with salt",4,4/1/2019,0
171436,sr_legacy_food,"Margarine, regular, 80% fat, composite, tub, with salt, with added vitamin D",4,4/1/2019,0
172349,sr_legacy_food,"Margarine, regular, 80% fat, composite, tub, without salt",4,4/1/2019,0
171018,sr_legacy_food,"Margarine, regular, hard, soybean (hydrogenated)",4,4/1/2019,0
171415,sr_legacy_food,"Margarine,spread, 35-39% fat, tub",4,4/1/2019,0
173599,sr_legacy_food,"Margarine-like shortening, industrial, soy (partially hydrogenated), cottonseed, and soy, principal use flaky pastries",4,4/1/2019,0
172352,sr_legacy_food,"Margarine-like spread with yogurt, 70% fat, stick, with salt",4,4/1/2019,0
173586,sr_legacy_food,"Margarine-like spread with yogurt, approximately 40% fat, tub, with salt",4,4/1/2019,0
172372,sr_legacy_food,"Margarine-like spread, SMART BALANCE Light Buttery Spread",4,4/1/2019,
173610,sr_legacy_food,"Margarine-like spread, SMART BALANCE Omega Plus Spread (with plant sterols & fish oil)",4,4/1/2019,0
172371,sr_legacy_food,"Margarine-like spread, SMART BALANCE Regular Buttery Spread with flax oil",4,4/1/2019,0
173608,sr_legacy_food,"Margarine-like spread, SMART BEAT Super Light without saturated fat",4,4/1/2019,0
171039,sr_legacy_food,"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin D",4,4/1/2019,0
169052,sr_legacy_food,"Margarine-like, butter-margarine blend, 80% fat, stick, without salt",4,4/1/2019,0
172339,sr_legacy_food,"Margarine-like, margarine-butter blend, soybean oil and butter",4,4/1/2019,0
172354,sr_legacy_food,"Margarine-like, vegetable oil spread, 20% fat, with salt",4,4/1/2019,0
172355,sr_legacy_food,"Margarine-like, vegetable oil spread, 20% fat, without salt",4,4/1/2019,0
172348,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt",4,4/1/2019,0
171437,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, stick, with salt, with added vitamin D",4,4/1/2019,0
173583,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt",4,4/1/2019,0
172350,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt",4,4/1/2019,0
171041,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt, with added vitamin D",4,4/1/2019,0
173582,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",4,4/1/2019,0
171038,sr_legacy_food,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",4,4/1/2019,0
171434,sr_legacy_food,"Margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin D",4,4/1/2019,0
172351,sr_legacy_food,"Margarine-like, vegetable oil spread, fat free, liquid, with salt",4,4/1/2019,0
172353,sr_legacy_food,"Margarine-like, vegetable oil spread, fat-free, tub",4,4/1/2019,0
169053,sr_legacy_food,"Margarine-like, vegetable oil-butter spread, reduced calorie, tub, with salt",4,4/1/2019,0
173580,sr_legacy_food,"Margarine-like, vegetable oil-butter spread, tub, with salt",4,4/1/2019,0
171443,sr_legacy_food,"Mayonnaise, reduced fat, with olive oil",4,4/1/2019,0
171031,sr_legacy_food,"Oil, almond",4,4/1/2019,0
171032,sr_legacy_food,"Oil, apricot kernel",4,4/1/2019,0
173573,sr_legacy_food,"Oil, avocado",4,4/1/2019,
171428,sr_legacy_food,"Oil, babassu",4,4/1/2019,0
172336,sr_legacy_food,"Oil, canola",4,4/1/2019,0
171421,sr_legacy_food,"Oil, cocoa butter",4,4/1/2019,0
171412,sr_legacy_food,"Oil, coconut",4,4/1/2019,0
171433,sr_legacy_food,"Oil, cooking and salad, ENOVA, 80% diglycerides",4,4/1/2019,
169867,sr_legacy_food,"Oil, corn and canola",4,4/1/2019,0
171029,sr_legacy_food,"Oil, corn, industrial and retail, all purpose salad or cooking",4,4/1/2019,0
167737,sr_legacy_food,"Oil, corn, peanut, and olive",4,4/1/2019,0
171024,sr_legacy_food,"Oil, cottonseed, salad or cooking",4,4/1/2019,0
173563,sr_legacy_food,"Oil, cupu assu",4,4/1/2019,0
167702,sr_legacy_food,"Oil, flaxseed, cold pressed",4,4/1/2019,0
171442,sr_legacy_food,"Oil, flaxseed, contains added sliced flaxseed",4,4/1/2019,
171028,sr_legacy_food,"Oil, grapeseed",4,4/1/2019,0
171427,sr_legacy_food,"Oil, hazelnut",4,4/1/2019,0
172360,sr_legacy_food,"Oil, industrial, canola (partially hydrogenated) oil for deep fat frying",4,4/1/2019,0
172359,sr_legacy_food,"Oil, industrial, canola for salads, woks and light frying",4,4/1/2019,0
172358,sr_legacy_food,"Oil, industrial, canola with antifoaming agent, principal uses salads, woks and light frying",4,4/1/2019,0
171042,sr_legacy_food,"Oil, industrial, canola, high oleic",4,4/1/2019,0
172367,sr_legacy_food,"Oil, industrial, coconut (hydrogenated), used for whipped toppings and coffee whiteners",4,4/1/2019,0
172365,sr_legacy_food,"Oil, industrial, coconut, confection fat, typical basis for ice cream coatings",4,4/1/2019,0
171441,sr_legacy_food,"Oil, industrial, cottonseed, fully hydrogenated",4,4/1/2019,0
172357,sr_legacy_food,"Oil, industrial, mid-oleic, sunflower",4,4/1/2019,0
172368,sr_legacy_food,"Oil, industrial, palm and palm kernel, filling fat (non-hydrogenated)",4,4/1/2019,0
172366,sr_legacy_food,"Oil, industrial, palm kernel (hydrogenated) , used for whipped toppings, non-dairy",4,4/1/2019,0
173602,sr_legacy_food,"Oil, industrial, palm kernel (hydrogenated), confection fat, intermediate grade product",4,4/1/2019,0
173601,sr_legacy_food,"Oil, industrial, palm kernel (hydrogenated), confection fat, uses similar to 95 degree hard butter",4,4/1/2019,0
173603,sr_legacy_food,"Oil, industrial, palm kernel (hydrogenated), filling fat",4,4/1/2019,0
173600,sr_legacy_food,"Oil, industrial, palm kernel, confection fat, uses similar to high quality cocoa butter",4,4/1/2019,0
172362,sr_legacy_food,"Oil, industrial, soy ( partially hydrogenated), all purpose",4,4/1/2019,0
172363,sr_legacy_food,"Oil, industrial, soy (partially hydrogenated ) and soy (winterized), pourable clear fry",4,4/1/2019,0
173604,sr_legacy_food,"Oil, industrial, soy (partially hydrogenated ), palm, principal uses icings and fillings",4,4/1/2019,0
172364,sr_legacy_food,"Oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening",4,4/1/2019,0
172361,sr_legacy_food,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",4,4/1/2019,0
173596,sr_legacy_food,"Oil, industrial, soy (partially hydrogenated), principal uses popcorn and flavoring vegetables",4,4/1/2019,0
171440,sr_legacy_food,"Oil, industrial, soy, fully hydrogenated",4,4/1/2019,0
171438,sr_legacy_food,"Oil, industrial, soy, low linolenic",4,4/1/2019,0
173598,sr_legacy_food,"Oil, industrial, soy, refined, for woks and light frying",4,4/1/2019,0
171439,sr_legacy_food,"Oil, industrial, soy, ultra low linolenic",4,4/1/2019,0
172337,sr_legacy_food,"Oil, mustard",4,4/1/2019,
172335,sr_legacy_food,"Oil, nutmeg butter",4,4/1/2019,0
173576,sr_legacy_food,"Oil, oat",4,4/1/2019,0
171413,sr_legacy_food,"Oil, olive, salad or cooking",4,4/1/2019,0
171015,sr_legacy_food,"Oil, palm",4,4/1/2019,0
171430,sr_legacy_food,"Oil, PAM cooking spray, original",4,4/1/2019,0
171410,sr_legacy_food,"Oil, peanut, salad or cooking",4,4/1/2019,0
171423,sr_legacy_food,"Oil, poppyseed",4,4/1/2019,0
171013,sr_legacy_food,"Oil, rice bran",4,4/1/2019,0
171027,sr_legacy_food,"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",4,4/1/2019,0
171026,sr_legacy_food,"Oil, safflower, salad or cooking, linoleic, (over 70%)",4,4/1/2019,0
171016,sr_legacy_food,"Oil, sesame, salad or cooking",4,4/1/2019,0
171429,sr_legacy_food,"Oil, sheanut",4,4/1/2019,0
171426,sr_legacy_food,"Oil, soybean lecithin",4,4/1/2019,0
171411,sr_legacy_food,"Oil, soybean, salad or cooking",4,4/1/2019,0
171012,sr_legacy_food,"Oil, soybean, salad or cooking, (partially hydrogenated)",4,4/1/2019,0
173565,sr_legacy_food,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",4,4/1/2019,0
172338,sr_legacy_food,"Oil, sunflower, high oleic (70% and over)",4,4/1/2019,0
171017,sr_legacy_food,"Oil, sunflower, linoleic (less than 60%)",4,4/1/2019,0
171025,sr_legacy_food,"Oil, sunflower, linoleic, (approx. 65%)",4,4/1/2019,0
172328,sr_legacy_food,"Oil, sunflower, linoleic, (partially hydrogenated)",4,4/1/2019,0
171425,sr_legacy_food,"Oil, teaseed",4,4/1/2019,0
171424,sr_legacy_food,"Oil, tomatoseed",4,4/1/2019,0
173570,sr_legacy_food,"Oil, ucuhuba butter",4,4/1/2019,0
171033,sr_legacy_food,"Oil, vegetable, Natreon canola, high stability, non trans, high oleic (70%)",4,4/1/2019,0
172370,sr_legacy_food,"Oil, vegetable, soybean, refined",4,4/1/2019,0
171030,sr_legacy_food,"Oil, walnut",4,4/1/2019,0
171014,sr_legacy_food,"Oil, wheat germ",4,4/1/2019,0
172329,sr_legacy_food,"Shortening bread, soybean (hydrogenated) and cottonseed",4,4/1/2019,0
173568,sr_legacy_food,"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",4,4/1/2019,0
172331,sr_legacy_food,"Shortening frying (heavy duty), palm (hydrogenated)",4,4/1/2019,
172333,sr_legacy_food,"Shortening frying (heavy duty), soybean (hydrogenated), linoleic (less than 1%)",4,4/1/2019,0
172332,sr_legacy_food,Shortening household soybean (hydrogenated) and palm,4,4/1/2019,
173569,sr_legacy_food,"Shortening industrial, soybean (hydrogenated) and cottonseed",4,4/1/2019,0
172334,sr_legacy_food,"Shortening, confectionery, fractionated palm",4,4/1/2019,
172327,sr_legacy_food,"Shortening, household, lard and vegetable oil",4,4/1/2019,0
171011,sr_legacy_food,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",4,4/1/2019,0
173606,sr_legacy_food,"Shortening, industrial, soy (partially hydrogenated ) and corn for frying",4,4/1/2019,0
173607,sr_legacy_food,"Shortening, industrial, soy (partially hydrogenated ) for baking and confections",4,4/1/2019,0
173597,sr_legacy_food,"Shortening, industrial, soy (partially hydrogenated), pourable liquid fry shortening",4,4/1/2019,0
173575,sr_legacy_food,"Shortening, special purpose for baking, soybean (hydrogenated) palm and cottonseed",4,4/1/2019,0
173574,sr_legacy_food,"Shortening, special purpose for cakes and frostings, soybean (hydrogenated)",4,4/1/2019,0
173584,sr_legacy_food,"Shortening, vegetable, household, composite",4,4/1/2019,0
171422,sr_legacy_food,"Vegetable oil, palm kernel",4,4/1/2019,0
167691,sr_legacy_food,"Vegetable oil-butter spread, reduced calorie",4,4/1/2019,0
172189,sr_legacy_food,"Egg, duck, whole, fresh, raw",5,4/1/2019,0.93
172190,sr_legacy_food,"Egg, goose, whole, fresh, raw",5,4/1/2019,0.94
172191,sr_legacy_food,"Egg, quail, whole, fresh, raw",5,4/1/2019,0.4
172192,sr_legacy_food,"Egg, turkey, whole, fresh, raw",5,4/1/2019,
173426,sr_legacy_food,"Egg, white, dried, flakes, stabilized, glucose reduced",5,4/1/2019,0
173427,sr_legacy_food,"Egg, white, dried, powder, stabilized, glucose reduced",5,4/1/2019,0
170895,sr_legacy_food,"Egg, white, dried, stabilized, glucose reduced",5,4/1/2019,0
172183,sr_legacy_food,"Egg, white, raw, fresh",5,4/1/2019,0.71
172203,sr_legacy_food,"Egg, white, raw, frozen, pasteurized",5,4/1/2019,0.25
171287,sr_legacy_food,"Egg, whole, raw, fresh",5,4/1/2019,0.37
172202,sr_legacy_food,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",5,4/1/2019,0.25
170893,sr_legacy_food,"Egg, whole, raw, frozen, salted, pasteurized",5,4/1/2019,0.07
172184,sr_legacy_food,"Egg, yolk, raw, fresh",5,4/1/2019,0.56
173421,sr_legacy_food,"Egg, yolk, raw, frozen, pasteurized",5,4/1/2019,0.16
173436,sr_legacy_food,"Egg, yolk, raw, frozen, salted, pasteurized",5,4/1/2019,0.07
