Food Code,ADD_SUGARS,,
21701020,0,,
22000100,0,,
22000110,0,,
22000120,0,,
22000200,0,,
22000210,0,,
22000220,0,,
22000300,0.32,,
22000310,0.32,,
22000320,0.32,,
22001000,0,,
22002000,0,,
22002100,0.2,,
22002800,2.14,,
22101000,0,,
22101010,0,,
22101020,0,,
22101100,0,,
22101110,0,,
22101120,0,,
22101130,0.17,,
22101140,0.17,,
22101150,0.17,,
22101200,0,,
22101210,0,,
22101220,0,,
22101300,0.32,,
22101310,0.32,,
22101320,0.32,,
22101400,0.23,,
22101410,0.23,,
22101420,0.23,,
22101500,0,,
22101510,0,,
22101520,0,,
22107000,0,,
22107010,0,,
22107020,0,,
22201000,0,,
22201010,0,,
22201020,0,,
22201050,0.18,,
22201060,0.18,,
22201070,0.18,,
22201100,0,,
22201110,0,,
22201120,0,,
22201200,0,,
22201210,0,,
22201220,0,,
22201300,0,,
22201310,0,,
22201320,0,,
22201400,0.32,,
22201410,0.32,,
22201420,0.32,,
22210300,0,,
22210310,0.3,,
22210350,0,,
22210400,0,,
22210450,0.18,,
22300120,0.26,,
22300130,0.26,,
22300140,0.24,,
22300150,0.31,,
22300160,0.31,,
22300170,0.32,,
22301000,0,,
22301110,0,,
22301120,0,,
22311000,0.25,,
22311010,0.25,,
22311020,0.25,,
22311450,0,,
22311500,0.24,,
22311510,0.24,,
22311520,0.24,,
22321110,0.26,,
22400100,0,,
22400110,0,,
22400120,0,,
22401000,0,,
22401010,0,,
22401020,0,,
22402510,0,,
22411000,0,,
22411010,0,,
22411020,0,,
22421000,0,,
22421010,0,,
22421020,0,,
22431000,0,,
22501010,0,,
22600100,0,,
22600110,0,,
22600200,0,,
22600210,0,,
22601000,0,,
22601040,0,,
22602010,0,,
22621000,0,,
22621100,0,,
22701000,0,,
22701010,0,,
22701020,0,,
22701030,2.28,,
22701040,2.28,,
22701050,2.28,,
22704010,0,,
22705010,0,,
22706010,0,,
22707010,0,,
22707020,0,,
22708010,0,,
22709010,0,,
22709110,0,,
22810010,0,,
22820000,0.12,,
23000100,0,,
23101000,0,,
23101010,0,,
23101020,0,,
23104000,0,,
23104010,0,,
23104020,0,,
23107000,0,,
23107010,0,,
23107020,0,,
23110000,0,,
23110010,0,,
23110050,0,,
23111010,0,,
23120100,0,,
23120110,0,,
23120120,0,,
23132000,0,,
23150100,0,,
23150200,0,,
23150250,0,,
23150270,0,,
23150300,0,,
23200100,0,,
23200110,0,,
23200120,0,,
23201010,0,,
23201020,0,,
23201030,0,,
23203010,0.14,,
23203020,0.14,,
23203030,0.14,,
23203100,0,,
23203110,0,,
23203120,0,,
23204010,0,,
23204020,0,,
23204030,0,,
23204200,0,,
23204210,0,,
23204220,0,,
23205010,0.14,,
23205020,0.14,,
23205030,0,,
23210010,0,,
23210020,0,,
23210030,0,,
23220010,0,,
23220020,0,,
23220030,0.17,,
23310000,0,,
23311100,0,,
23311120,0,,
23311200,0,,
23321000,0,,
23321050,0,,
23321100,0,,
23321200,0,,
23321250,0.24,,
23321900,3.51,,
23322100,0.49,,
23322300,0,,
23322350,0,,
23322400,0,,
23323100,0,,
23323500,0,,
23324100,0,,
23326100,0,,
23331100,0,,
23332100,0,,
23333100,0,,
23334100,0,,
23335100,0,,
23340100,0,,
23345100,0,,
23350100,0,,
23410010,0,,
23420010,0,,
24100000,0,,
24100010,0,,
24100020,0,,
24102000,0,,
24102010,0,,
24102020,0,,
24102050,0,,
24102060,0,,
24102070,0,,
24103000,0,,
24103010,0,,
24103020,0,,
24103050,0,,
24103055,0,,
24103060,0,,
24103070,1.31,,
24103075,1.31,,
24103080,1.31,,
24104049,0,,
24104051,0,,
24107070,0,,
24107071,0,,
24107080,0,,
24107081,0,,
24120110,0,,
24120120,0,,
24122130,0,,
24122131,0,,
24122140,0,,
24122141,0,,
24122150,0,,
24122151,0,,
24122160,0,,
24122161,0,,
24122170,0,,
24122171,0,,
24123110,0,,
24123120,0,,
24123300,0,,
24123301,0,,
24123310,1.32,,
24123311,1.32,,
24124200,0,,
24124201,0,,
24127200,0,,
24127201,0,,
24127202,0,,
24127210,0,,
24127211,0,,
24127220,0,,
24127221,0,,
24127500,0,,
24127501,0,,
24130210,0,,
24130220,0,,
24132230,0,,
24132231,0,,
24132240,0,,
24132241,0,,
24133210,0,,
24133220,0,,
24134100,0,,
24134101,0,,
24134150,1.3,,
24134151,1.3,,
24134300,0,,
24134301,0,,
24137300,0,,
24137301,0,,
24137310,0,,
24137311,0,,
24140210,0,,
24140220,0,,
24142300,0,,
24142301,0,,
24142310,0,,
24142311,0,,
24142320,0,,
24142321,0,,
24142400,0,,
24142401,0,,
24142500,0,,
24142501,0,,
24142510,1.3,,
24142511,1.3,,
24143210,0,,
24143220,0,,
24144300,0,,
24144301,0,,
24147300,0,,
24147301,0,,
24147302,0,,
24147310,0,,
24147311,0,,
24147320,0,,
24147321,0,,
24147400,0,,
24147401,0,,
24150210,0,,
24150220,0,,
24152230,0,,
24152231,0,,
24152240,0,,
24152241,0,,
24152250,0,,
24152251,0,,
24152300,0,,
24152301,0,,
24153210,0,,
24153220,0,,
24154010,0,,
24154011,0,,
24154020,1.3,,
24154021,1.3,,
24154300,0,,
24154301,0,,
24157300,0,,
24157301,0,,
24157302,0,,
24157310,0,,
24157311,0,,
24157320,0,,
24157321,0,,
24157330,0,,
24157331,0,,
24157400,0,,
24157401,0,,
24160110,0,,
24162130,0,,
24162140,0,,
24162150,0,,
24162200,0,,
24163110,0,,
24164000,0,,
24164010,1.3,,
24164200,0,,
24167200,0,,
24167210,0,,
24167220,0,,
24167230,0,,
24167300,0,,
24168000,0.47,,
24168001,1.61,,
24168002,0,,
24168010,0.47,,
24168011,1.61,,
24168012,0,,
24168020,0.47,,
24168021,1.61,,
24168022,0,,
24168030,1.24,,
24168031,1.24,,
24170200,0,,
24180200,0,,
24198340,0,,
24198440,0,,
24198500,0,,
24198570,0,,
24198670,0,,
24198671,0,,
24198677,0,,
24198683,0,,
24198720,0,,
24198729,0,,
24198731,0,,
24198732,0,,
24198735,0,,
